,CA_LA_JC_PJ51_1,CA_LA_JC_PJ51_10,CA_LA_JC_PJ51_11,CA_LA_JC_PJ51_12,CA_LA_JC_PJ51_13,CA_LA_JC_PJ51_14,CA_LA_JC_PJ51_15,CA_LA_JC_PJ51_16,CA_LA_JC_PJ51_17,CA_LA_JC_PJ51_18,CA_LA_JC_PJ51_19,CA_LA_JC_PJ51_2,CA_LA_JC_PJ51_20,CA_LA_JC_PJ51_21,CA_LA_JC_PJ51_22,CA_LA_JC_PJ51_23,CA_LA_JC_PJ51_24,CA_LA_JC_PJ51_3,CA_LA_JC_PJ51_4,CA_LA_JC_PJ51_5,CA_LA_JC_PJ51_6,CA_LA_JC_PJ51_7,CA_LA_JC_PJ51_8,CA_LA_JC_PJ51_9,CA_LA_JC_PJ52_1,CA_LA_JC_PJ52_10,CA_LA_JC_PJ52_11,CA_LA_JC_PJ52_12,CA_LA_JC_PJ52_13,CA_LA_JC_PJ52_14,CA_LA_JC_PJ52_15,CA_LA_JC_PJ52_16,CA_LA_JC_PJ52_17,CA_LA_JC_PJ52_18,CA_LA_JC_PJ52_19,CA_LA_JC_PJ52_2,CA_LA_JC_PJ52_20,CA_LA_JC_PJ52_22,CA_LA_JC_PJ52_23,CA_LA_JC_PJ52_24,CA_LA_JC_PJ52_3,CA_LA_JC_PJ52_4,CA_LA_JC_PJ52_5,CA_LA_JC_PJ52_6,CA_LA_JC_PJ52_7,CA_LA_JC_PJ52_8,CA_LA_JC_PJ52_9
CA_LA_JC_PJ52_19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_LA_JC_PJ52_2,NA,NA,NA,NA,0.712757537136586,0.504377979773124,NA,0.776674222891528,NA,NA,1.15966647514763,NA,NA,NA,NA,NA,NA,NA,1.96531221568935,NA,NA,NA,1.33105655295759,1.33105655295759,0.987194382838346,NA,NA,NA,NA,0.935901088450796,NA,NA,NA,NA,NA,0,2.52492800362477,NA,NA,NA,NA,NA,1.20317216364245,NA,NA,NA,NA
CA_LA_JC_PJ52_20,NA,NA,NA,NA,1.94570185911271,2.13833305950803,NA,2.44140096129319,NA,NA,1.11964512131087,NA,NA,NA,NA,NA,NA,NA,1.92529086185258,NA,NA,NA,1.85065098705625,2.32065461630198,1.18356180706581,NA,NA,NA,NA,1.94570185911271,NA,NA,NA,NA,NA,2.52492800362477,0,NA,NA,NA,NA,NA,0.980829253011726,NA,NA,NA,NA
CA_LA_JC_PJ52_22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_LA_JC_PJ52_23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
CA_LA_JC_PJ52_24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
CA_LA_JC_PJ52_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
CA_LA_JC_PJ52_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
CA_LA_JC_PJ52_5,NA,NA,NA,NA,0.595775142163689,0.752038698388137,NA,1.18863799279782,NA,NA,0.692201106483926,NA,NA,NA,NA,NA,NA,NA,1.47330573810952,NA,NA,NA,1.85065098705625,2.32065461630198,0.847089570444596,NA,NA,NA,NA,1.49371673536965,NA,NA,NA,NA,NA,1.20317216364245,0.980829253011726,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
CA_LA_JC_PJ52_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
CA_LA_JC_PJ52_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
CA_LA_JC_PJ52_8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
CA_LA_JC_PJ52_9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
