,UT_Ca_JN_PJ17_1,UT_Ca_JN_PJ17_10,UT_Ca_JN_PJ17_11,UT_Ca_JN_PJ17_12,UT_Ca_JN_PJ17_13,UT_Ca_JN_PJ17_14,UT_Ca_JN_PJ17_15,UT_Ca_JN_PJ17_16,UT_Ca_JN_PJ17_17,UT_Ca_JN_PJ17_18,UT_Ca_JN_PJ17_19,UT_Ca_JN_PJ17_2,UT_Ca_JN_PJ17_20,UT_Ca_JN_PJ17_21,UT_Ca_JN_PJ17_22,UT_Ca_JN_PJ17_23,UT_Ca_JN_PJ17_24,UT_Ca_JN_PJ17_3,UT_Ca_JN_PJ17_4,UT_Ca_JN_PJ17_5,UT_Ca_JN_PJ17_6,UT_Ca_JN_PJ17_7,UT_Ca_JN_PJ17_8,UT_Ca_JN_PJ17_9,UT_Ca_JN_PJ18_1,UT_Ca_JN_PJ18_10,UT_Ca_JN_PJ18_11,UT_Ca_JN_PJ18_12,UT_Ca_JN_PJ18_13,UT_Ca_JN_PJ18_14,UT_Ca_JN_PJ18_15,UT_Ca_JN_PJ18_16,UT_Ca_JN_PJ18_17,UT_Ca_JN_PJ18_18,UT_Ca_JN_PJ18_19,UT_Ca_JN_PJ18_2,UT_Ca_JN_PJ18_20,UT_Ca_JN_PJ18_21,UT_Ca_JN_PJ18_22,UT_Ca_JN_PJ18_23,UT_Ca_JN_PJ18_24,UT_Ca_JN_PJ18_3,UT_Ca_JN_PJ18_4,UT_Ca_JN_PJ18_5,UT_Ca_JN_PJ18_6,UT_Ca_JN_PJ18_7,UT_Ca_JN_PJ18_8,UT_Ca_JN_PJ18_9
UT_Ca_JN_PJ18_17,3.1745694956899,NA,1.42980004961471,NA,NA,3.1745694956899,NA,NA,NA,NA,NA,2.74949403100509,NA,NA,NA,1.70754608499049,NA,3.15495913911326,1.61973122923829,2.29533274989261,1.45021104687483,NA,2.25827876381574,NA,NA,NA,2.21825740997898,NA,1.11964512131087,1.40852024240531,0.776674222891528,0.466519294587689,0,1.07551759743342,0.769276446397555,NA,0.975804085084975,NA,1.78827513457001,0.97734491835368,0.795544386882952,1.99243016469021,NA,NA,NA,NA,NA,2.01465604597562
UT_Ca_JN_PJ18_18,1.53373808920642,NA,1.94570185911271,NA,NA,1.85219182032495,NA,NA,NA,NA,NA,1.96611285637283,NA,NA,NA,2.02277719902633,NA,2.81341071676004,2.59993864686739,1.6661022550876,2.52572864430826,NA,1.85219182032495,NA,NA,NA,1.6943874308318,NA,0.847089570444595,0.65145637609042,0.564337532018313,0.935901088450796,1.07551759743342,0,0.790633517733702,NA,0.914557627885912,NA,2.13987389277673,1.29257603238953,0.772449695648265,2.74949403100509,NA,NA,NA,NA,NA,1.79089065927878
UT_Ca_JN_PJ18_19,2.19653823543023,NA,1.30921902120626,NA,NA,1.50339105487029,NA,NA,NA,NA,NA,1.88924580640181,NA,NA,NA,1.94591014905531,NA,2.58239298696176,1.96345580896095,1.7227665977411,1.77146277074543,NA,1.50339105487029,NA,NA,NA,1.17568762858174,NA,1.05790459292536,1.62441145061808,0.522561801858562,1.34924037504303,0.769276446397555,0.790633517733702,0,NA,0.971221970539414,NA,1.79107312732207,1.21570898241851,1.01143559509572,1.60218556933266,NA,NA,NA,NA,NA,1.28793921399686
UT_Ca_JN_PJ18_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UT_Ca_JN_PJ18_20,2.38108696739888,NA,1.16241061722046,NA,NA,1.82147117946346,NA,NA,NA,NA,NA,1.44518587894808,NA,NA,NA,2.41814095347574,NA,1.10871364232687,1.87607082544595,1.50185022160158,1.80186082288681,NA,1.97562185929071,NA,NA,NA,1.78144982562669,NA,1.08830264506674,1.14113081001107,1.57015675118255,1.05933112741656,0.975804085084975,0.914557627885912,0.971221970539414,NA,0,NA,1.68793978683893,0.994792606278987,1.70680995083036,1.04479695657193,NA,NA,NA,NA,NA,1.30818489467423
UT_Ca_JN_PJ18_21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UT_Ca_JN_PJ18_22,2.00533356952611,NA,NA,NA,NA,2.85263142991332,NA,NA,NA,NA,NA,2.13987389277673,NA,NA,NA,2.19653823543023,NA,NA,1.92640182288409,2.6020033435384,2.5453390008849,NA,2.56494935746154,NA,NA,NA,2.1194628955166,NA,1.71399778740844,2.79133026886715,3.25809653802148,NA,1.78827513457001,2.13987389277673,1.79107312732207,NA,1.68793978683893,NA,0,1.11803037452521,1.89067234089301,NA,NA,NA,NA,NA,NA,2.50364819641537
UT_Ca_JN_PJ18_23,1.75401914124521,NA,1.60863727175061,NA,NA,1.64865862558738,NA,NA,NA,NA,NA,1.85219182032495,NA,NA,NA,0.897255251299972,NA,1.44672671221679,1.17263002050771,2.6020033435384,1.22358316090258,NA,1.46633706879343,NA,NA,NA,1.42631571495666,NA,0.445486461944932,1.49204728473689,1.87180217690159,1.17865499634165,0.97734491835368,1.29257603238953,1.21570898241851,NA,0.994792606278987,NA,1.11803037452521,0,1.89067234089301,1.67049209891362,NA,NA,NA,NA,NA,1.18189235643305
UT_Ca_JN_PJ18_24,1.89067234089301,NA,1.73286795139986,NA,NA,2.58381952145296,NA,NA,NA,NA,NA,2.8518912373281,NA,NA,NA,1.92772632696988,NA,3.25735634543627,2.63841916743546,2.21540839942166,1.64791843300216,NA,2.02420373351754,NA,NA,NA,1.53219725593771,NA,1.1575038064963,0.773318505597535,0.504377979773124,0.879071429214535,0.795544386882952,0.772449695648265,1.01143559509572,NA,1.70680995083036,NA,1.89067234089301,1.89067234089301,0,2.78797455157316,NA,NA,NA,NA,NA,2.81020043285858
UT_Ca_JN_PJ18_3,2.48142231512995,NA,0.937323564516911,NA,NA,1.46982140345147,NA,NA,NA,NA,NA,1.07551759743342,NA,NA,NA,2.11301119309865,NA,0.670052489325258,1.03194456433618,1.33982130486517,0.957734561777039,NA,1.15966647514763,NA,NA,NA,1.42980004961471,NA,1.74825378073324,1.72697397352384,1.78827513457001,1.78827513457001,1.99243016469021,2.74949403100509,1.60218556933266,NA,1.04479695657193,NA,NA,1.67049209891362,2.78797455157316,0,NA,NA,NA,NA,NA,0.670921299274528
UT_Ca_JN_PJ18_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
UT_Ca_JN_PJ18_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
UT_Ca_JN_PJ18_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
UT_Ca_JN_PJ18_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
UT_Ca_JN_PJ18_8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
UT_Ca_JN_PJ18_9,2.09818308830721,NA,0.854188930144502,NA,NA,1.25088522792,NA,NA,NA,NA,NA,1.0371188569024,NA,NA,NA,1.62441145061808,NA,1.0371188569024,0.612337693342553,1.21894634250991,0.979960443062456,NA,0.845420119811838,NA,NA,NA,1.21086387408323,NA,1.65269662636227,2.4423470353692,1.94403240847995,1.81050101585543,2.01465604597562,1.79089065927878,1.28793921399686,NA,1.30818489467423,NA,2.50364819641537,1.18189235643305,2.81020043285858,0.670921299274528,NA,NA,NA,NA,NA,0
