,CA_Sol_Jmo_PJ25_1,CA_Sol_Jmo_PJ25_10,CA_Sol_Jmo_PJ25_11,CA_Sol_Jmo_PJ25_12,CA_Sol_Jmo_PJ25_13,CA_Sol_Jmo_PJ25_14,CA_Sol_Jmo_PJ25_15,CA_Sol_Jmo_PJ25_16,CA_Sol_Jmo_PJ25_17,CA_Sol_Jmo_PJ25_18,CA_Sol_Jmo_PJ25_19,CA_Sol_Jmo_PJ25_2,CA_Sol_Jmo_PJ25_21,CA_Sol_Jmo_PJ25_22,CA_Sol_Jmo_PJ25_23,CA_Sol_Jmo_PJ25_3,CA_Sol_Jmo_PJ25_4,CA_Sol_Jmo_PJ25_5,CA_Sol_Jmo_PJ25_6,CA_Sol_Jmo_PJ25_7,CA_Sol_Jmo_PJ25_8,CA_Sol_Jmo_PJ25_9,CA_Sol_Jmo_PJ26_1,CA_Sol_Jmo_PJ26_10,CA_Sol_Jmo_PJ26_11,CA_Sol_Jmo_PJ26_12,CA_Sol_Jmo_PJ26_13,CA_Sol_Jmo_PJ26_14,CA_Sol_Jmo_PJ26_15,CA_Sol_Jmo_PJ26_16,CA_Sol_Jmo_PJ26_17,CA_Sol_Jmo_PJ26_18,CA_Sol_Jmo_PJ26_19,CA_Sol_Jmo_PJ26_2,CA_Sol_Jmo_PJ26_20,CA_Sol_Jmo_PJ26_21,CA_Sol_Jmo_PJ26_22,CA_Sol_Jmo_PJ26_23,CA_Sol_Jmo_PJ26_24,CA_Sol_Jmo_PJ26_3,CA_Sol_Jmo_PJ26_4,CA_Sol_Jmo_PJ26_5,CA_Sol_Jmo_PJ26_6,CA_Sol_Jmo_PJ26_7,CA_Sol_Jmo_PJ26_8,CA_Sol_Jmo_PJ26_9
CA_Sol_Jmo_PJ25_8,1.44518587894808,0.88557009101266,0.820179911386343,0.756117792238869,1.45202593090012,0.952544077267529,3.91122236474466,0.947173029001578,0.985653549569642,NA,NA,1.20317216364245,NA,0.775728148815509,NA,1.53219725593771,1.13863364250488,1.00124025027185,1.66323691773311,NA,0,0.966783385578219,0.952544077267529,NA,NA,NA,0.80539876597507,1.6943874308318,NA,NA,0.866699927021236,NA,0.934360255182092,2.05816173447044,1.09861228866811,NA,1.25255467855276,NA,NA,0.794598312806933,0.854188930144502,NA,NA,NA,1.11902328592824,NA
CA_Sol_Jmo_PJ25_9,0.674277016568522,1.40516452511131,0.693147180559945,0.796139146075637,0.631846019513779,1.15508436060207,1.64865862558738,1.15904463976501,0.879071429214535,NA,NA,0.955511445027436,NA,1.11803037452521,NA,0.75123805770465,0.860201265223111,0.753579531656841,2.05993321550861,NA,0.966783385578219,0,0.587100322996133,NA,NA,NA,1.49204728473689,1.22358316090258,NA,NA,1.17865499634165,NA,1.33105655295759,1.05672921347905,0.820179911386343,NA,1.36668400454325,NA,NA,1.13690053851663,0.999570799639096,NA,NA,NA,1.15904463976501,NA
CA_Sol_Jmo_PJ26_1,0.639872038663238,0.674963358474508,0.377379792014064,0.672850482077319,1.15440782137234,0.980829253011726,1.68571261166424,1.32963001846639,1.52226121886171,NA,NA,0.692460838653959,NA,1.09792594676212,NA,0.916125415291396,1.09792594676212,0.710590810060166,2.25113788141273,NA,0.952544077267529,0.587100322996133,0,NA,NA,NA,1.03662478571596,1.48378069829365,NA,NA,1.09792594676212,NA,1.36811053903445,1.09378319955591,1.30921902120626,NA,1.19609862584187,NA,NA,0.369581708923326,0.748942713264176,NA,NA,NA,1.19609862584187,NA
CA_Sol_Jmo_PJ26_10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_Jmo_PJ26_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_Jmo_PJ26_12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_Jmo_PJ26_13,1.42390607173868,1.07559937747047,0.999570799639096,1.38542555117062,2.4423470353692,1.36204718615059,1.69271798019904,1.38542555117062,0.773318505597535,NA,NA,1.69271798019904,NA,1.25088522792,NA,1.60622762853264,1.81050101585543,0.92589322179218,2.55824784239787,NA,0.80539876597507,1.49204728473689,1.03662478571596,NA,NA,NA,0,1.23127487134336,NA,NA,0.845420119811838,NA,1.07559937747047,1.63141681915288,1.90401105464318,NA,1.56774710796457,NA,NA,0.689936896658484,0.93826963859293,NA,NA,NA,0.92589322179218,NA
CA_Sol_Jmo_PJ26_14,1.06013176810005,1.00606454682977,1.44672671221679,2.52572864430826,1.56774710796457,2.02277719902633,1.29257603238953,1.83258146374831,1.06013176810005,NA,NA,2.5453390008849,NA,3.23848618144484,NA,3.25735634543627,1.85219182032495,0.7339691750802,2.19447353875923,NA,1.6943874308318,1.22358316090258,1.48378069829365,NA,NA,NA,1.23127487134336,0,NA,NA,1.36668400454325,NA,1.06013176810005,1.23127487134336,0.947173029001578,NA,0.967584026261706,NA,NA,1.242453324894,1.47243692816025,NA,NA,NA,1.07880966137193,NA
CA_Sol_Jmo_PJ26_15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_Jmo_PJ26_16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
